Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Close Date,Closing Date,FTE,Pay Rate
Part-time Faculty,0600006,Academic Office,0,Cancelled,"May 21, 2009 at 03:20 PM",3,0,Open Until Filled,,,Dependent on experience and education
Central Shops Manager,0600002,University Operations,0,Cancelled,"June 03, 2008 at 10:47 AM",23,0,Apr 23,23.04.2008,1,"Payscale starts at $64,000/yr"
Architectural Drafting Specialist I,0600004,Facilities Management,0,Filled,"June 03, 2008 at 10:39 AM",8,0,Apr 29,29.04.2008,1,"Payscale starts at $38,271/yr"
University Store Merchandise Supervisor,0600005,University Store,0,Filled,"June 03, 2008 at 10:35 AM",25,1,May 01,01.05.2008,1,"Pay scale begins at $45,125/yr"
Chemistry Laboratory Supervisor,0600003,Chemistry,0,Filled,"June 03, 2008 at 10:36 AM",6,0,Apr 29,29.04.2008,1,"Pay scale starts at $42,715/yr"
Network Engineer,0600007,Infrastructure,0,Filled,"June 25, 2008 at 10:53 AM",11,0,May 12,12.05.2008,1,"Payscale starts at $42,715/yr"
Part-time Faculty (Internal),,Academic Office,0,Filled,"May 16, 2008 at 12:42 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Lead Hart Building Monitor,0600009,Student Activities,0,Filled,"June 03, 2008 at 10:35 AM",10,0,May 07,07.05.2008,1,Pay scale starts at $12.44/hr
Sprinkler Mechanic,0600008,Grounds,0,Filled,"June 03, 2008 at 10:35 AM",6,0,May 07,07.05.2008,1,"Pay scale starts at $28,350/yr; experience considered for offer"
Office Assistant I,0600010,Online Instruction,0,Filled,"June 03, 2008 at 10:39 AM",0,0,May 12,12.05.2008,1,"Pay scale begins at $25,870/yr"
Custodian,0600011,Custodial Services,0,Filled,"June 25, 2008 at 10:51 AM",6,0,May 08,08.05.2008,1,"Pay scale begins at $23,600/yr"
Office Assistant I,,Online Instruction,0,Cancelled,"April 30, 2008 at 04:47 PM",0,0,May 12,12.05.2008,1,"Pay scale begins at$25,870/yr"
Office Assistant I,0600012,Online Instruction,0,Filled,"June 03, 2008 at 10:34 AM",37,2,May 12,12.05.2008,1,"Pay scale begins at $25,870/yr"
Adjunct Faculty - Home & Family,,Academic Office,0,Filled,"May 04, 2009 at 04:50 PM",6,0,Open Until Filled,,,Dependent on experience and education
Learn to Swim Program Director,0600013,Continuing Education,0,Filled,"June 03, 2008 at 10:34 AM",4,0,May 16,16.05.2008,,"$1,500 salary for swim season"
Adjunct Faculty - Nursing,,Academic Office,0,Filled,"May 04, 2009 at 04:51 PM",3,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Accounting,,Academic Office,0,Cancelled,"May 01, 2009 at 04:16 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Business Management,,Academic Office,0,Filled,"May 04, 2009 at 04:45 PM",3,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Economics,,Academic Office,0,Filled,"June 20, 2008 at 01:42 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Dance,0600076,Academic Office,0,Filled,"May 21, 2009 at 02:58 PM",8,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Theatre,,Academic Office,0,Filled,"May 04, 2009 at 04:53 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Recreation Management,,Academic Office,0,Cancelled,"May 04, 2009 at 05:02 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Art,,Academic Office,0,Filled,"May 04, 2009 at 04:55 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Economics,,Academic Office,0,Cancelled,"May 04, 2009 at 04:59 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Teacher Education,,Academic Office,0,Filled,"May 04, 2009 at 04:53 PM",5,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - English,0600046,Academic Office,0,Filled,"May 21, 2009 at 03:18 PM",26,1,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - History,,Academic Office,0,Cancelled,"May 04, 2009 at 05:00 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Exercise & Sports Science,,Academic Office,0,Filled,"May 04, 2009 at 04:46 PM",3,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Political Science,,Academic Office,0,Cancelled,"May 04, 2009 at 05:01 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Geography,,Academic Office,0,Cancelled,"May 04, 2009 at 04:59 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Art,,Academic Office,0,Filled,"May 04, 2009 at 04:44 PM",4,0,Open Until Filled,,,Dependent on Education and Experience
"Adjunct Faculty - Agribusiness, Plant & Animal Sciences",,Academic Office,0,Filled,"May 04, 2009 at 04:44 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Horticulture,,Academic Office,0,Cancelled,"May 04, 2009 at 05:00 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Communication,,Academic Office,0,Filled,"May 04, 2009 at 04:54 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Biology,,Academic Office,0,Filled,"May 04, 2009 at 04:45 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant II,,Performing & Visual Arts,0,Filled,"July 22, 2008 at 04:32 PM",8,0,Jul 07,07.07.2008,.92,$14.97/hr
Nurse Practitioner,0600019,Student Health Center,0,Filled,"September 26, 2008 at 08:42 AM",3,0,Jul 17,17.07.2008,.75,"$48,000/yr minimum with offer DOE for a 3/4 position (equivalent to $64,000/yr minimum of full year)"
Custodian,0600020,Custodial Services,0,Filled,"August 07, 2008 at 02:39 PM",15,0,Jul 14,14.07.2008,.75,$11.34/hr minimum
Head Resident,0600023,Housing & Student Living,0,Filled,"August 06, 2008 at 11:51 AM",14,0,Jul 16,16.07.2008,.70,"$550/month minimum stipend, stipend is based on hall size"
Registration Specialist,0600024,Student Records & Registration,0,Filled,"August 04, 2008 at 05:29 PM",85,1,Jul 17,17.07.2008,1,"$25,870/yr minimum"
Senior Network Engineer,0600022,Infrastructure,0,Filled,"August 06, 2008 at 11:52 AM",9,1,Jul 16,16.07.2008,1,"$53,000/yr minimum with experience considered for offer"
Adjunct Faculty - Health Science,,Academic Office,0,Filled,"May 04, 2009 at 04:49 PM",4,0,Open Until Filled,,,Dependent on Education and Experience
Construction Projects Coordinator,0600025,University Operations,0,Filled,"August 28, 2008 at 04:01 PM",20,0,Jul 24,24.07.2008,1,"$56,740/yr minimum with experience/education considered for offer"
Custodial Supervisor,0600028,Custodial Services,0,Filled,"August 28, 2008 at 04:07 PM",47,2,Aug 05,05.08.2008,1,"$42,715/yr minimum"
Financial Aid Advisor,0600029,Student Financial Aid ,0,Filled,"August 28, 2008 at 04:02 PM",93,2,Aug 11,11.08.2008,1.0,"$34,450/yr. minimum"
Electrician I,0600032,Electrical Shop,0,Cancelled,"August 05, 2008 at 10:58 AM",1,0,Aug 15,15.08.2008,1.0,"$42,715/yr minimum"
Electrician I,0600034,Electrical Shop,0,Filled,"September 26, 2008 at 08:41 AM",8,0,Aug 15,15.08.2008,1.0,"$42,715/yr minimum"
Catering Assistant,0600035,University Food Services,0,Cancelled,"June 27, 2014 at 09:09 AM",0,0,Aug 18,18.08.2008,1.0,$12.44/hr minimum
Broadcasting & News Services Supervisor,0600037,University Communications,0,Filled,"October 29, 2008 at 08:56 AM",25,1,Sep 08,08.09.2008,1,"Pay scale starts at $50,500/yr minimum"
