Posting_Name,Department,Application_Date_time,Referral_Source,Clean_Date,Clean_Time,Referral_Count
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 02, 2017 at 02:49 PM",Referral by BYU-Idaho employee,January 02 2017,2:49 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 02, 2017 at 08:08 PM",BYU-Idaho Employment Website,January 02 2017,8:08 PM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 03, 2017 at 09:51 PM",Referral by BYU-Idaho employee,January 03 2017,9:51 PM,1
Family and Consumer Sciences Full-time Faculty - Anticipated for Fall 2017,Home & Family,"January 04, 2017 at 01:28 PM",Other,January 04 2017,1:28 PM,1
Family and Consumer Sciences Full-time Faculty - Anticipated for Fall 2017,Home & Family,"January 06, 2017 at 11:41 PM",Referral by BYU-Idaho employee,January 06 2017,11:41 PM,1
Family and Consumer Sciences Full-time Faculty - Anticipated for Fall 2017,Home & Family,"January 07, 2017 at 06:08 PM",BYU-Idaho Employment Website,January 07 2017,6:08 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 09, 2017 at 09:34 PM",BYU-Idaho Employment Website,January 09 2017,9:34 PM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 10, 2017 at 09:51 PM",Other,January 10 2017,9:51 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"January 12, 2017 at 09:03 PM",BYU-Idaho Employment Website,January 12 2017,9:03 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"January 14, 2017 at 02:07 PM",BYU-Idaho Employment Website,January 14 2017,2:07 PM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 15, 2017 at 09:06 PM",Referral by BYU-Idaho employee,January 15 2017,9:06 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 16, 2017 at 06:30 PM",BYU-Idaho Employment Website,January 16 2017,6:30 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 16, 2017 at 09:01 PM",BYU-Idaho Employment Website,January 16 2017,9:01 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"January 18, 2017 at 03:10 PM",Referral by BYU-Idaho employee,January 18 2017,3:10 PM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 19, 2017 at 09:46 AM",BYU-Idaho Employment Website,January 19 2017,9:46 AM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 20, 2017 at 10:03 AM",Referral by BYU-Idaho employee,January 20 2017,10:03 AM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"January 21, 2017 at 01:10 AM",Referral by BYU-Idaho employee,January 21 2017,1:10 AM,1
Public Health Full-time Faculty Member - Anticipated for Fall 2017,Human Performance & Recreation,"January 21, 2017 at 11:45 PM",BYU-Idaho Employment Website,January 21 2017,11:45 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 25, 2017 at 11:15 PM",Referral by BYU-Idaho employee,January 25 2017,11:15 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"January 28, 2017 at 10:42 PM",BYU-Idaho Employment Website,January 28 2017,10:42 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"January 30, 2017 at 09:36 PM",Referral by BYU-Idaho employee,January 30 2017,9:36 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"February 06, 2017 at 07:56 PM",Referral by someone other than a BYU-Idaho employee,February 06 2017,7:56 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"February 06, 2017 at 10:04 PM",Referral by BYU-Idaho employee,February 06 2017,10:04 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"February 07, 2017 at 10:55 AM",Referral by BYU-Idaho employee,February 07 2017,10:55 AM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"February 07, 2017 at 04:14 PM",BYU-Idaho Employment Website,February 07 2017,4:14 PM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"February 09, 2017 at 08:15 AM",Other,February 09 2017,8:15 AM,1
Economics Full-time Faculty - Anticipated for Fall 2017,Economics,"February 10, 2017 at 07:42 PM",BYU-Idaho Employment Website,February 10 2017,7:42 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"February 11, 2017 at 10:36 PM",BYU-Idaho Employment Website,February 11 2017,10:36 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"February 11, 2017 at 11:33 PM",BYU-Idaho Employment Website,February 11 2017,11:33 PM,1
Nursing Full-time Faculty - Anticipated for Fall 2017,Nursing,"March 06, 2017 at 08:25 PM",Referral by BYU-Idaho employee,March 06 2017,8:25 PM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 08, 2017 at 08:53 AM",BYU-Idaho Employment Website,March 08 2017,8:53 AM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 09, 2017 at 06:37 PM",Other,March 09 2017,6:37 PM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 09, 2017 at 10:48 PM",Other,March 09 2017,10:48 PM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 12, 2017 at 12:55 PM",Other,March 12 2017,12:55 PM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 16, 2017 at 01:07 PM",Other,March 16 2017,1:07 PM,1
History Visiting Faculty - Anticipated for Winter 2018,History/Geography/Poli Science,"March 17, 2017 at 12:33 PM",BYU-Idaho Employment Website,March 17 2017,12:33 PM,1
