Student,Final Exam Score,Final Exam Denominator,Project 1 Weighted,Project 2 Weighted,Project 3 Weighted,Project 4 Weighted,Project 5 Weighted,Project Total Numerator,Project Total Denominator,Hard Work 1,Hard Work 2,Hard Work 2.2,Hard Work 3,Hard Work 3.2,Hard Work 7,Hard Work 8,Hard Work 9,Hard Work 9.2,Hard Work 11,Hard Work 12,Hard Work Subtotal Numerator,Hard Work Subtotal Denominator,Attendance Weighted Grade,Attendance Subtotal Denominator,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Final Letter Grade
1,16.2,20,4.625,5,5,4.625,5,24.25,25,3.333333333,2.008032129,,3.333333333,3.333333333,,0,0,0,0,0,12.00803213,30,22.5,25,74.95803213,100,C
2,9.8,20,3.5,3.75,0,0,0,7.25,25,3.333333333,3.333333333,,2.820512821,3.333333333,,3.333333333,1.481481481,1.666666667,1.666666667,3.333333333,24.3019943,30,25,25,66.3519943,100,D
3,13.28,20,5,5,4.5,4.5,5,24,25,3.333333333,3.333333333,,3.333333333,3.333333333,,2.5,3.333333333,3.333333333,3.333333333,3.333333333,29.16666667,30,25,25,91.44666667,100,A-
4,12.28,20,4.75,5,4.5,4.25,5,23.5,25,3.333333333,3.293172691,,3.333333333,3.333333333,,3.333333333,3.148148148,3.333333333,2.575757576,1.8,27.48374508,30,25,25,88.26374508,100,B+
5,13.64,20,4.75,5,5,4.5,5,24.25,25,3.333333333,2.931726908,,3.269230769,2.7,,2.651515152,3.055555556,3.111111111,2.876666667,2.733333333,26.66247283,30,25,25,89.55247283,100,B+
6,20,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,100,100,A
7,12.36,20,4.125,5,4.5,4.25,4.75,22.625,25,3.333333333,1.445783133,,2.307692308,3.333333333,,3.106060606,2.222222222,2,2.566666667,2.666666667,22.98175827,30,23.75,25,81.71675827,100,B-
8,3.52,20,0,0,0,0,0,0,25,3.333333333,1.004016064,,1.923076923,0,,0,0,0,0,0,6.260426321,30,15,25,24.78042632,100,F
9,11.52,20,3.625,5,4.5,0,5,18.125,25,3.333333333,3.293172691,,3.333333333,3.333333333,,3.333333333,2.407407407,3.333333333,2.727272727,3.333333333,28.42785283,30,25,25,83.07285283,100,B
10,17.56,20,5,5,5,5,5,25,25,3.333333333,3.333333333,,3.333333333,3.333333333,,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,30,30,25,25,97.56,100,A
