Name,Waitlisted,Google Rating,Website,Notes,Floor Plan,Phone Number,E-mail,Address,Cost per Month,(2nd Option),Deposit Fee,Application Fee,Length of Lease,Utilities,Utiliies We Pay,Parking,Internet,Washer/Dryer,Refrigerator,Stove/Oven,Dishwasher,Microwave,Air-conditioning,Garbage Disposal,Furnished,Pets,Cable,Clubhouse,Type of Heating,Renter's Insurance,,,,,,,,,,,,,
COMMUNITY HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(CMP) Campus Courtyard,Need to Apply,3.2,http://rexburgmarriedhousing.com/campus-courtyard/,Application fee is for all complexes. $20 for electricity. On-site W/D for 1 B. W/D hook-up included in 2 bedroom ,1 B and 2 B,(208) 356-7600,CampusMarriedHousingINC@gmail.com,273 S 5th W,$640,$675,$400 ($300 reimbursable),$20,12 months,"Water, Sewage, Garbage, Gas",Electricity,$10 per vehicle (one time fee),Included,Hook-ups,Included,Included,Included,Not Included,Included,Not Included,Included,Not Included,Not Included,Not Included,Water,Not Included,,,,,,,,,,,,,
(CMP) Campus Park,Need to Apply,2.5,http://rexburgmarriedhousing.com/campus-park/,On-site W/D for 1 B. W/D hook-up included in 2 bedroom ,1 B and 2 B,(208) 356-7600,CampusMarriedHousingINC@gmail.com,332 S 4th W,$625,$665,$400 ($300 reimbursable),$20,12 months,"Water, Sewage, Garbage, Gas",Electricity,$10 per vehicle (one time fee),Included,Hook-ups,Included,Included,Included,Not Included,Included,Not Included,Included,Not Included,Not Included,Not Included,Water,Not Included,,,,,,,,,,,,,
(CMP) Temple View,Need to Apply,3,http://rexburgmarriedhousing.com/temple-view/,On-site W/D for 1 B. W/D hook-up included in 2 bedroom ,1 B and 2 B,(208) 356-7600,CampusMarriedHousingINC@gmail.com,440 S 4th W,$625,$665,$400 ($300 reimbursable),$20,12 months,"Water, Sewage, Garbage, Gas",Electricity,$10 per vehicle (one time fee),Included,Hook-ups,Included,Included,Included,Not Included,Included,Not Included,Included,Not Included,Not Included,Not Included,Water,Not Included,,,,,,,,,,,,,
(CMP) University Gateway,Need to Apply,3.7,http://rexburgmarriedhousing.com/university-gateway/,On-site W/D for 1 B. W/D hook-up included in 2 bedroom ,1 B and 2 B,(208) 356-7600,CampusMarriedHousingINC@gmail.com,431 W 4th S,$625,$665,$400 ($300 reimbursable),$20,12 months,"Water, Sewage, Garbage, Gas",Electricity,$10 per vehicle (one time fee),Included,Hook-ups,Included,Included,Included,Not Included,Included,Not Included,Included,Not Included,Not Included,Not Included,Water,Not Included,,,,,,,,,,,,,
(LL) Juniper Sands,Yes,4.6,http://www.leathamdevelopment.com,Put on January waitlist. Nothing currently available. TV mount is there. Bedframe.,1.5 B,(Tours) 208-351-4668 (Waitlists) 208-881-8998,shalynn@leathamlegacy.com,720 Cornelison Ave,$680,"$720, $770","$500, $600",N/A,12 months,Garbage,Electricity/Gas,Included,Included,Included,Included,Included,Included,Included,Included,Included,Partially,Not Included,Not Included,Not Included,Gas,Not Included,,,,,,,,,,,,,
Appletree Apartments,Voicemail,3.2,http://appletreerexburg.com/index.html,Accepting applications for winter.,2 B,208-356-6411,appletree.apartments@hotmail.com,347 S. 4th W.,$635,,$300,,12 months,"Water, Sewage, Garbage",Electricity/Gas,One Space/Pay for additional,Included,Included,Included,Included,Included,,Optional,Included,Not Included,,Included,,,,,,,,,,,,,,,,
Aspen Grove,Need to E-mail,3.5,http://www.aspengroverexburg.com/Default.aspx,"4 Plex and 12 Plex options. 12 plex has On-site W/D, Kitchen Pantry, Walk-in closet, and assigned parking.",2 B,208.346.3639,aspengrove.rexburg@gmail.com,339 W 2nd South,$725,,$400,N/A,Mininum 6 months,"Internet, Water, Sewage, Garbage",Electricity,Included,Included,Hook-ups,Included,Included,Included,Not Included,Included,Included,Not Included,Not Included,Not Included,Not Included,,,,,,,,,,,,,,,
Avilla Apartments,Need to Apply,2,http://avillaapartments.com/,1 apartment for 2 bedrooms. Internet not included yet will be in few months. NOT impressed with the manager.,2 B and 3 B,208-914-0818 ,avilla@pcmigroup.com ,520 Yale Avenue,$695,$795,$300,$30/individual,12 months,"Gas, Electric, Water/Sewer, Garbage",$50/month,Included,Not Included,On-site,Included,Included,Not Included,Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Gas,Not Included,,,,,,,,,,,,,
(Hemming Properties) The Hamptons,,,http://thehamptonsrexburg.com/,1 available right now (1B). $250 transfer fee,1B,208-356-6142,,260 West 1st North,$695,,$625,N/A,12 months,"Water, Sewage, Garbage",Electricity/Gas,Included,Included,Included,Included,Included,Included,Included,Included,,Not Included,Not Included,Not Included,Not Included,Electric,,,,,,,,,,,,,,
Brenchley Apartments,,,https://brenchley-south-brenchley-apartments.business.site/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brentwood Condos,,,http://brentwoodcondos.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge View Apartments,,N/A,,,1 B and 2 B,801-828-8423,,"Anthony, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Court,Voicemail,4.1,http://cambridgecourtapts.com,,1 B and 2 B,208-716-0612,,419 W Main,$605,$655,$250,,12 months,Free,,Included,Included,Hook-ups,Included,Not Included,Included,Not Included,Included,Included,Not Included,Not Included,Included,Not Included,,,,,,,,,,,,,,,
