Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Architectural Drafting Specialist I,0600004,Facilities Management,0,Filled,"June 03, 2008 at 10:39 AM",8,0,"Payscale starts at $38,271/yr",1,,"January 27, 2014 at 06:15 PM",29.04.2008,2008-05-16
University Store Merchandise Supervisor,0600005,University Store,0,Filled,"June 03, 2008 at 10:35 AM",25,1,"Pay scale begins at $45,125/yr",1,,"January 27, 2014 at 06:15 PM",01.05.2008,2008-06-01
Chemistry Laboratory Supervisor,0600003,Chemistry,0,Filled,"June 03, 2008 at 10:36 AM",6,0,"Pay scale starts at $42,715/yr",1,,"January 27, 2014 at 06:15 PM",29.04.2008,2008-08-01
Network Engineer,0600007,Infrastructure,0,Filled,"June 25, 2008 at 10:53 AM",11,0,"Payscale starts at $42,715/yr",1,,"January 27, 2014 at 06:15 PM",12.05.2008,2008-06-01
Lead Hart Building Monitor,0600009,Student Activities,0,Filled,"June 03, 2008 at 10:35 AM",10,0,Pay scale starts at $12.44/hr,1,,"January 27, 2014 at 06:15 PM",07.05.2008,2008-05-16
Sprinkler Mechanic,0600008,Grounds,0,Filled,"June 03, 2008 at 10:35 AM",6,0,"Pay scale starts at $28,350/yr; experience considered for offer",1,,"January 27, 2014 at 06:15 PM",07.05.2008,2008-05-16
Office Assistant I,0600010,Online Instruction,0,Filled,"June 03, 2008 at 10:39 AM",0,0,"Pay scale begins at $25,870/yr",1,,"January 27, 2014 at 06:15 PM",12.05.2008,2008-06-02
Custodian,0600011,Custodial Services,0,Filled,"June 25, 2008 at 10:51 AM",6,0,"Pay scale begins at $23,600/yr",1,,"January 27, 2014 at 06:15 PM",08.05.2008,2008-05-16
Office Assistant I,0600012,Online Instruction,0,Filled,"June 03, 2008 at 10:34 AM",37,2,"Pay scale begins at $25,870/yr",1,,"January 27, 2014 at 06:15 PM",12.05.2008,2008-06-02
Learn to Swim Program Director,0600013,Continuing Education,0,Filled,"June 03, 2008 at 10:34 AM",4,0,"$1,500 salary for swim season",,,"January 27, 2014 at 06:16 PM",16.05.2008,2008-05-28
Office Assistant II,,Performing & Visual Arts,0,Filled,"July 22, 2008 at 04:32 PM",8,0,$14.97/hr,.92,,"January 27, 2014 at 06:16 PM",07.07.2008,2008-07-18
Nurse Practitioner,0600019,Student Health Center,0,Filled,"September 26, 2008 at 08:42 AM",3,0,"$48,000/yr minimum with offer DOE for a 3/4 position (equivalent to $64,000/yr minimum of full year)",.75,,"January 27, 2014 at 06:16 PM",17.07.2008,2008-09-01
Custodian,0600020,Custodial Services,0,Filled,"August 07, 2008 at 02:39 PM",15,0,$11.34/hr minimum,.75,,"January 27, 2014 at 06:16 PM",14.07.2008,2008-08-01
Head Resident,0600023,Housing & Student Living,0,Filled,"August 06, 2008 at 11:51 AM",14,0,"$550/month minimum stipend, stipend is based on hall size",.70,,"January 27, 2014 at 06:16 PM",16.07.2008,2008-08-15
Registration Specialist,0600024,Student Records & Registration,0,Filled,"August 04, 2008 at 05:29 PM",85,1,"$25,870/yr minimum",1,,"January 27, 2014 at 06:16 PM",17.07.2008,2008-08-01
Senior Network Engineer,0600022,Infrastructure,0,Filled,"August 06, 2008 at 11:52 AM",9,1,"$53,000/yr minimum with experience considered for offer",1,,"January 27, 2014 at 06:16 PM",16.07.2008,2008-08-15
Construction Projects Coordinator,0600025,University Operations,0,Filled,"August 28, 2008 at 04:01 PM",20,0,"$56,740/yr minimum with experience/education considered for offer",1,,"January 27, 2014 at 06:16 PM",24.07.2008,2008-08-15
Custodial Supervisor,0600028,Custodial Services,0,Filled,"August 28, 2008 at 04:07 PM",47,2,"$42,715/yr minimum",1,,"January 27, 2014 at 06:16 PM",05.08.2008,2008-09-01
Financial Aid Advisor,0600029,Student Financial Aid ,0,Filled,"August 28, 2008 at 04:02 PM",93,2,"$34,450/yr. minimum",1.0,No,"January 27, 2014 at 06:16 PM",11.08.2008,2008-09-01
Electrician I,0600034,Electrical Shop,0,Filled,"September 26, 2008 at 08:41 AM",8,0,"$42,715/yr minimum",1.0,,"January 27, 2014 at 06:16 PM",15.08.2008,2008-08-18
Broadcasting & News Services Supervisor,0600037,University Communications,0,Filled,"October 29, 2008 at 08:56 AM",25,1,"Pay scale starts at $50,500/yr minimum",1,,"January 27, 2014 at 06:16 PM",08.09.2008,2008-10-15
Curriculum Development Manager,0600041,Curriculum Development,0,Filled,"December 08, 2008 at 09:49 AM",34,0,"Pay scale begins at $50,500/yr",,,"January 27, 2014 at 06:16 PM",15.10.2008,2009-01-01
Activities Advisor,0600043,Student Activities,0,Filled,"November 13, 2008 at 02:27 PM",118,4,"Pay scale begins at $45,000/yr minimum",1,,"January 27, 2014 at 06:16 PM",07.10.2008,2008-11-16
Lighting Designer/Programmer,0600044,A/V Production Services,0,Filled,"October 21, 2008 at 09:19 AM",6,0,"Pay scale starts at $38,270/yr; experience will be considered in offer",1,,"January 27, 2014 at 06:16 PM",08.10.2008,2008-11-01
Office Assistant I,,Human Performance & Recreation,0,Filled,"October 14, 2008 at 03:51 PM",10,0,Payscale minimum starts at $12.44/hr; Employees should talk to Beth in Human Resources,.75,No,"January 27, 2014 at 06:16 PM",29.09.2008,2008-10-16
Lab Assistant,0600047,Biology,0,Filled,"November 12, 2008 at 02:20 PM",4,0,$13.60/hour minimum,.60,,"January 27, 2014 at 06:16 PM",22.10.2008,2008-11-03
Full-time Faculty - Nursing,0600050,Academic Office,0,Filled,"May 21, 2009 at 02:57 PM",5,0,Dependent on education and experience.,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
"Resident Supervisor, Badger Creek",0600048,Continuing Education,0,Filled,"November 21, 2008 at 12:23 PM",31,0,"Payscale begins at $44,000/yr",1,,"January 27, 2014 at 06:16 PM",03.11.2008,2009-01-01
Full-time Faculty - Music (Voice),0600052,Academic Office,0,Filled,"May 21, 2009 at 03:00 PM",5,0,Dependent on education and experience.,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Office Assistant I,0600055,Dance,0,Filled,"December 08, 2008 at 09:47 AM",26,1,Pay scale begins at $12.44/hr,.30,,"January 27, 2014 at 06:16 PM",05.11.2008,2008-12-08
Full-time Faculty - Academic Learning,0600058,Academic Office,0,Filled,"June 11, 2009 at 01:24 PM",39,1,Dependent on education and experience.,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Computer Science & Engineering,0600060,Academic Office,0,Filled,"September 22, 2009 at 02:36 PM",9,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Chemistry,0600067,Academic Office,0,Filled,"May 21, 2009 at 03:09 PM",4,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Religious Education,0600066,Academic Office,0,Filled,"May 15, 2009 at 09:41 AM",63,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",15.12.2008,2009-07-01
Sound Technician,0600026,Audio Visual Services,0,Filled,"September 02, 2008 at 02:43 PM",8,0,"$38,000/yr minimum",1,,"January 27, 2014 at 06:16 PM",31.07.2008,2008-09-01
Groundskeeper,0600016,Grounds,0,Filled,"August 15, 2008 at 09:30 AM",22,1,"$28,350/yr minimum",1,,"January 27, 2014 at 06:16 PM",09.07.2008,2008-08-01
Office Assistant I,0600075,Counseling,0,Filled,"December 20, 2008 at 12:06 PM",58,0,"Pay scale starts at $25,400/yr",1.0,,"January 27, 2014 at 06:16 PM",09.12.2008,2009-01-05
Facilities Service Center Representative,0600014,Facilities Management,0,Filled,"July 15, 2008 at 08:39 AM",44,0,"$25,870/yr minimum",1,,"January 27, 2014 at 06:16 PM",23.06.2008,2008-07-28
Online Adjunct Faculty--English (2 openings),0600083,Continuing Education,0,Filled,"February 10, 2009 at 05:10 PM",15,1,Paid $750 per course credit hour,,,"January 27, 2014 at 06:16 PM",22.01.2009,
