Date,Year,Month,Units Sold,,Key Table,,
2016-07-31,2016,July,100,,January,1,31
2016-08-31,2016,August,93,,February,2,28
2016-09-30,2016,September,81,,March,3,31
2016-10-31,2016,October,51,,April,4,30
2016-11-30,2016,November,21,,May,5,31
2016-12-31,2016,December,12,,June,6,30
2017-01-31,2017,January,6,,July,7,31
2017-02-28,2017,February,10,,August,8,31
2017-03-31,2017,March,86,,September,9,30
2017-04-30,2017,April,167,,October,10,31
2017-05-31,2017,May,349,,November,11,30
2017-06-30,2017,June,368,,December,12,31
2017-07-31,2017,July,405,,,,
2017-08-31,2017,August,380,,,,
2017-09-30,2017,September,242,,,,
2017-10-31,2017,October,193,,,,
2017-11-30,2017,November,118,,,,
2017-12-31,2017,December,19,,,,
2018-01-31,2018,January,47,,,,
2018-02-28,2018,February,88,,,,
2018-03-31,2018,March,260,,,,
2018-04-30,2018,April,461,,,,
2018-05-31,2018,May,566,,,,
2018-06-30,2018,June,485,,,,
2018-07-31,2018,July,485,,,,
2018-08-31,2018,August,400,,,,
2018-09-30,2018,September,275,,,,
2018-10-31,2018,October,201,,,,
2018-11-30,2018,November,155,,,,
2018-12-31,2018,December,43,,,,
2019-01-31,2019,January,,,,,
2019-02-28,2019,February,,,,,
2019-03-31,2019,March,,,,,
2019-04-30,2019,April,,,,,
2019-05-31,2019,May,,,,,
2019-06-30,2019,June,,,,,
2019-07-31,2019,July,,,,,
2019-08-31,2019,August,,,,,
2019-09-30,2019,September,,,,,
2019-10-31,2019,October,,,,,
2019-11-30,2019,November,,,,,
2019-12-31,2019,December,,,,,
