Day,MaxTemp,LowTemp,AvgTemp,Dew,SeaPressure,TimeLength,TotalAvg
12-Jan-20,27,21,13,21,30.05,551,127.21
11-Jan-20,26,21,23.63,19.25,25.08,549,127.592
10-Jan-20,23,-5,10.56,3.18,25.3,548,116.408
9-Jan-20,27,21,25.34,22.18,25.07,546,127.918
8-Jan-20,32,18,25.42,21.08,24.97,545,126.894
7-Jan-20,31,25,27.81,23.35,25.36,544,129.104
6-Jan-20,31,19,23.55,19.05,25.45,543,126.01
5-Jan-20,26,9,21.39,17.76,25.43,542,123.116
4-Jan-20,34,8,17.77,13.73,25.43,541,121.186
3-Jan-20,28,16,24,20.12,25.37,540,125.098
2-Jan-20,29,14,23.1,19.95,25.2,539,124.25
1-Jan-20,31,22,25.35,22.32,25.05,538,126.544
31-Dec-19,25,2,19.3,15.69,25.36,537,119.87
30-Dec-19,21,0,10.19,3.3,25.34,536,114.966
29-Dec-19,20,8,16.04,11.33,25.21,536,119.316
28-Dec-19,16,2,8.17,3.37,25.2,535,114.748
27-Dec-19,22,10,17.6,13.05,25.14,535,120.158
26-Dec-19,23,9,15.03,10.68,25.17,535,118.976
25-Dec-19,29,15,24.59,19.38,25.07,534,123.608
24-Dec-19,39,30,34.37,31,24.94,534,130.862
23-Dec-19,39,17,29.96,21.46,25.07,534,125.498
22-Dec-19,36,23,28.33,20.46,25.15,534,126.188
21-Dec-19,36,17,24.25,17.25,25.35,534,123.57
20-Dec-19,37,22,29.92,22.04,25.39,534,126.67
19-Dec-19,30,7,21.28,13.21,25.33,534,120.164
18-Dec-19,21,2,12.13,4.29,25.38,534,115.56
17-Dec-19,23,3,16.14,8.17,25.58,535,117.578
16-Dec-19,20,18,18.67,13.2,25.53,535,122.08
15-Dec-19,25,19,22.14,17.57,25.21,536,123.984
