sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
24406245104,2019-10-26T10:05:00Z,83,23,15,45,112,66,0.10007880220646179
24395409305,2019-10-25T06:30:30Z,72,23,13,36,109,64,0.09912170639899624
24382220772,2019-10-24T09:07:30Z,85,24,15,46,136,63,0.05375347544022243
24358999901,2019-10-22T06:25:30Z,73,22,14,37,93,61,0.08156424581005586
24350198831,2019-10-21T06:40:30Z,70,20,15,35,62,61,0.07133243606998654
24350198830,2019-10-20T08:46:30Z,78,22,14,42,91,61,0.059628543499511244
24310746355,2019-10-18T06:24:00Z,68,18,15,35,90,63,0.13304252998909488
24286210050,2019-10-16T06:22:30Z,79,22,16,41,91,66,0.08517350157728706
24286210049,2019-10-15T06:20:30Z,68,19,14,35,86,66,0.07525510204081633
24211178485,2019-10-10T02:37:30Z,62,19,15,28,14,69,0.06027397260273973
24181441248,2019-10-08T06:16:00Z,73,21,15,37,77,67,0.04992867332382311
24181441247,2019-10-07T09:24:00Z,80,21,19,40,80,69,0.059085841694537344
24138574204,2019-10-04T06:45:30Z,70,19,14,37,87,71,0.08269018743109151
24110889098,2019-10-03T06:23:30Z,71,18,14,39,99,68,0.06004618937644342
24102540039,2019-10-02T06:26:00Z,72,21,15,36,61,65,0.05278592375366569
24071234999,2019-09-29T08:42:00Z,77,23,14,40,114,66,0.08943089430894309
23998688234,2019-09-24T07:24:30Z,76,23,14,39,112,63,0.07135135135135136
23998688233,2019-09-22T08:20:30Z,75,23,14,38,115,63,0.10638297872340426
23951835182,2019-09-20T07:06:00Z,74,21,14,39,54,63,0.06942752740560293
23940148080,2019-09-19T07:16:30Z,73,21,13,39,88,60,0.08229988726042842
23915572256,2019-09-17T07:24:30Z,82,24,18,40,130,63,0.11099691675231244
23906099979,2019-09-16T05:55:30Z,63,21,12,30,69,60,0.12558139534883722
23906099978,2019-09-15T08:37:30Z,80,23,12,45,108,60,0.10795974382433669
23875686201,2019-09-14T09:55:30Z,78,22,14,42,90,59,0.08357915437561456
23846711548,2019-09-12T09:12:30Z,78,21,16,41,79,58,0.08941418293936279
23833269763,2019-09-11T06:46:30Z,73,21,14,38,78,54,0.06314432989690721
23833269762,2019-09-09T06:42:30Z,71,21,13,37,59,53,0.09523809523809523
23744541855,2019-09-05T08:42:30Z,76,18,19,39,58,55,0.1561065197428834
